product_id,scope,applicable_product_ids,evidence_type,source_url,source_title,matched_text,sha256,review_status
B003,PRODUCT,"[""B003""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C023911,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
B004,PRODUCT,"[""B004""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C113310,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
B005,PRODUCT,"[""B005""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C016293,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
B006,PRODUCT,"[""B006""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C023912,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
B007,PRODUCT,"[""B007""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C023916,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
B008,PRODUCT,"[""B008""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C101745,LINKED_ACCOUNT_REQUIREMENT_SOURCE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=REQUIRED_LINKED_ACCOUNT,,FINAL_V4
B008,PRODUCT,"[""B008""]",CURRENT_STATUS_MANUAL_REVIEW_V4,https://obiz.kbstar.com/quics?page=C101745,OFFICIAL_LINKED_ACCOUNT_REQUIREMENT,C101745는 KB매출더하기론 이용절차이며 B008은 필수 정산계좌로만 설명됨,,VERIFIED_2026-07-21
A001,PRODUCT,"[""A001""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C016144&cc=b065687%3Ab065741&prcode=DP01001618&isNew=N,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_CONSULT; channels=BRANCH,STAR_BUSINESS_BANKING; mode=CONSULTATION; role=DIRECT_CANDIDATE",,FINAL_V4
A002,PRODUCT,"[""A002""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?cc=b065687%3Ab065741&isNew=N&page=C016144&prcode=DP01001588,OFFICIAL_PRODUCT_DETAIL_OR_APPLICATION_INFO,"status=AVAILABLE_APPLY; channels=STAR_BUSINESS_BANKING,BRANCH; mode=ONLINE_OR_BRANCH; role=COMPANION_ACCOUNT",,FINAL_V4
A002,PRODUCT,"[""A002""]",CURRENT_STATUS_MANUAL_REVIEW_V4,https://obiz.kbstar.com/quics?cc=b065687%3Ab065741&isNew=N&page=C016144&prcode=DP01001588,OFFICIAL_PRODUCT_CODE_PLUS_CURRENT_TERMS,보존 raw의 정확한 상품코드 DP01001588 및 현재 KB사장님+통장 약관·거래방법 유지 확인,,VERIFIED_2026-07-21
A003,PRODUCT,"[""A003""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?cc=b065687%3Ab065741&isNew=N&page=C016144&prcode=DP01001479,OFFICIAL_PRODUCT_DETAIL_OR_APPLICATION_INFO,"status=AVAILABLE_APPLY; channels=STAR_BUSINESS_BANKING,BRANCH; mode=ONLINE_OR_BRANCH; role=COMPANION_ACCOUNT",,FINAL_V4
A003,PRODUCT,"[""A003""]",CURRENT_STATUS_MANUAL_REVIEW_V4,https://obiz.kbstar.com/quics?cc=b065687%3Ab065741&isNew=N&page=C016144&prcode=DP01001479,OFFICIAL_CURRENT_PRODUCT_PAGE,공식 기업 예금상품 페이지에서 스타기업뱅킹·영업점 가입 경로 확인,,VERIFIED_2026-07-21
A004,PRODUCT,"[""A004""]",RUNTIME_OFFICIAL_URL_V4,https://obank.kbstar.com/quics?cc=b061761%3Ab061770&isNew=N&page=C020702&prcode=DP000010,OFFICIAL_PRODUCT_DETAIL_OR_APPLICATION_INFO,status=AVAILABLE_APPLY; channels=BRANCH; mode=BRANCH_OPENING; role=HOLDING_ANALYSIS_ONLY,,FINAL_V4
A004,PRODUCT,"[""A004""]",CURRENT_STATUS_MANUAL_REVIEW_V4,https://obank.kbstar.com/quics?cc=b061761%3Ab061770&isNew=N&page=C020702&prcode=DP000010,OFFICIAL_CURRENT_PRODUCT_PAGE,공식 상품 페이지에서 가입가능경로 영업점 확인,,VERIFIED_2026-07-21
A005,PRODUCT,"[""A005""]",RUNTIME_OFFICIAL_URL_V4,https://obank.kbstar.com/quics?articleClass=2&articleId=144823&bbsMode=view&boardId=669&compId=b058336&page=C020722,OFFICIAL_PRODUCT_LAUNCH_AND_BRANCH_OPENING_INFO,status=AVAILABLE_APPLY; channels=BRANCH; mode=BRANCH_OPENING; role=REQUIRED_LINKED_ACCOUNT,,FINAL_V4
A005,PRODUCT,"[""A005""]",CURRENT_STATUS_MANUAL_REVIEW_V4,https://obank.kbstar.com/quics?articleClass=2&articleId=144823&bbsMode=view&boardId=669&compId=b058336&page=C020722,OFFICIAL_CURRENT_LAUNCH_NOTICE,2026-06-05 공식 신상품 안내에서 신규·해지 거래방법을 지점으로 명시,,VERIFIED_2026-07-21
A006,PRODUCT,"[""A006""]",RUNTIME_OFFICIAL_URL_V4,https://obank.kbstar.com/quics?cc=b061496%3Ab061645&isNew=Y&page=C016613&prcode=DP01000866,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=AVAILABLE_CONSULT; channels=BRANCH; mode=CONSULTATION; role=DIRECT_CANDIDATE,,FINAL_V4
